115.51,No,Full,49,Female,AM,Europe
35.05,No,Full,68,Male,AM,Europe
78.31,No,Full,77,Other,AM,Europe
25.25,No,Full,77,Female,PM,Europe
91.89,No,Full,20,Male,PM,Europe
73.85,Yes,Full,25,Female,PM,Europe
111,No,Full,35,Male,AM,Europe
84.28,No,Full,20,Female,PM,Europe
60.62,Yes,Half,29,Male,PM,Europe
38.63,No,Half,48,Female,AM,Europe
23.87,No,Full,76,Female,AM,International
34.26,Yes,Half,40,Female,AM,Europe
99,No,Full,75,Male,PM,International
112.57,No,Half,28,Female,PM,International
102.69,No,Full,65,Female,AM,Europe
99.74,No,Half,45,Male,PM,International
41.23,No,Full,65,Male,AM,International
78.56,No,Full,67,Female,PM,Europe
70.09,No,Full,67,Male,AM,International
95.89,No,Half,34,Female,AM,International
81.81,No,Full,73,Female,AM,Europe
7.26,Yes,Full,47,Female,AM,Europe
75.61,Yes,Full,61,Male,PM,Europe
12.64,Yes,Half,20,Male,AM,Europe
80.71,Yes,Half,35,Male,PM,International
42.89,No,Full,41,Female,PM,Europe
91.56,Yes,Half,71,Female,AM,Europe
77.92,Yes,Full,31,Female,PM,International
68.48,No,Full,79,Female,AM,Europe
100.24,No,Full,67,Female,PM,Europe
60.61,Yes,Half,31,Female,AM,Europe
107.47,Yes,Full,69,Male,PM,Europe
101.48,No,Full,77,Female,PM,Europe
11.63,No,Half,51,Female,AM,Europe
107.91,No,Half,44,Male,PM,Europe
76.38,Yes,Half,36,Male,PM,Europe
115.98,Yes,Full,72,Female,AM,Europe
89.14,No,Full,31,Female,AM,Europe
95.65,No,Half,33,Male,AM,International
66.94,Yes,Full,45,Female,PM,International
115.96,Yes,Half,22,Male,PM,Europe
85.95,Yes,Full,59,Male,PM,International
53.22,Yes,Full,65,Female,AM,Europe
12.93,No,Full,60,Male,AM,Europe
117.46,No,Full,78,Male,AM,Europe
106.41,No,Half,22,Female,AM,International
78.21,No,Full,78,Male,PM,International
68.47,No,Full,70,Female,PM,Europe
75.08,No,Full,50,Male,PM,International
105.64,No,Full,76,Female,PM,International
111.26,No,Full,32,Female,PM,International
84.16,Yes,Full,27,Female,PM,Europe
119.14,No,Full,79,Female,AM,Europe
45.43,No,Full,27,Male,PM,Europe
27.71,Yes,Half,37,Male,PM,Europe
38.52,No,Full,67,Male,AM,Europe
30.82,No,Full,78,Other,AM,International
70.93,Yes,Half,73,Male,AM,International
113.75,No,Full,61,Female,AM,Europe
11.34,No,Full,38,Male,AM,Europe
100.58,No,Full,53,Female,AM,Europe
46.56,No,Full,31,Male,AM,International
45.46,No,Full,41,Female,PM,Europe
47.88,No,Half,26,Female,PM,Europe
74.95,No,Full,61,Female,AM,International
22.55,Yes,Full,18,Male,PM,Europe
110.64,No,Full,34,Female,PM,Europe
49.11,No,Half,60,Female,AM,Europe
87.61,Yes,Full,18,Female,AM,Europe
117.85,No,Full,18,Female,AM,Europe
75.07,Yes,Full,41,Female,PM,Europe
100.65,No,Full,38,Male,AM,Europe
30.03,No,Half,79,Male,PM,International
17.43,Yes,Half,27,Other,AM,International
50.04,No,Full,64,Male,AM,International
44.34,No,Full,55,Male,PM,International
18.27,Yes,Full,18,Female,PM,Europe
62.84,No,Full,41,Female,PM,Europe
93.02,No,Half,68,Other,AM,Europe
30.36,No,Half,24,Male,AM,Europe
46.47,Yes,Full,67,Male,AM,International
9.24,Yes,Half,22,Male,AM,Europe
58.42,Yes,Full,72,Male,PM,International
113.75,Yes,Full,57,Female,AM,Europe
23.96,No,Half,55,Male,AM,International
18.13,Yes,Half,38,Male,AM,International
19.68,No,Full,58,Male,PM,International
66.14,No,Full,24,Female,AM,Europe
46.95,Yes,Full,18,Other,PM,Europe
88.58,Yes,Full,69,Female,PM,Europe
100.47,No,Full,50,Female,PM,Europe
12.36,No,Full,20,Female,PM,International
117.12,No,Full,72,Male,AM,Europe
67.72,No,Half,77,Other,AM,International
85.73,No,Full,18,Female,PM,Europe
108.15,No,Full,47,Female,AM,Europe
37.62,No,Half,61,Female,AM,Europe
57.63,Yes,Full,24,Male,AM,Europe
110.48,No,Full,24,Female,PM,Europe
42.03,No,Full,50,Female,PM,Europe
114.92,No,Full,60,Female,PM,Europe
78.53,No,Half,28,Male,PM,International
109.18,No,Full,20,Male,PM,Europe
52.46,No,Full,64,Male,PM,Europe
113.08,Yes,Half,45,Male,AM,Europe
37.33,Yes,Half,26,Male,PM,International
78.47,No,Full,42,Female,AM,Europe
55.47,Yes,Full,42,Male,PM,International
110.4,Yes,Full,22,Male,PM,International
90.08,No,Full,52,Female,PM,International
53.59,No,Full,19,Female,AM,Europe
91.32,No,Full,49,Male,PM,Europe
92.03,Yes,Full,42,Female,AM,Europe
6.59,No,Full,36,Male,AM,Europe
76.53,Yes,Full,21,Male,AM,Europe
11.35,No,Full,73,Male,PM,Europe
94.96,No,Half,80,Male,PM,Europe
6.3,No,Half,53,Male,PM,Europe
99.24,No,Full,56,Male,AM,International
82.72,No,Full,67,Male,PM,Europe
118.35,No,Full,38,Male,PM,Europe
21.9,Yes,Full,71,Male,AM,Europe
57.77,No,Full,70,Female,AM,Europe
53.36,No,Half,26,Female,PM,Europe
26.59,No,Full,26,Female,PM,Europe
51.71,No,Full,64,Female,PM,Europe
30.76,No,Full,50,Female,AM,Europe
7.2,Yes,Full,21,Female,PM,International
55.51,No,Full,66,Male,AM,International
47.26,No,Half,65,Female,AM,Europe
63.81,Yes,Half,73,Female,AM,International
55.2,No,Half,73,Female,AM,International
110.93,No,Full,27,Female,PM,Europe
34.74,No,Full,50,Male,AM,International
105.52,Yes,Full,59,Male,PM,Europe
20.83,Yes,Half,20,Female,AM,Europe
57.16,Yes,Half,70,Female,PM,International
